CAT: CAPITAL - COUNTRY
DIFF: EASY
BUENOS AIRES,ARGENTINA
JARCHO-LEVIN SYNDROME
JEUNE SYNDROME
HYPOXIA
HYPOKALEMIA
HYPEREKPLEXIA
HYPERKALEMIA
HYPEROXALURIA
HYPERRELEXIA
HORN-KOLB SYNDROME
HIP LUXATION
HETEROTAXIA
HERPES ZOSTER
HERMANSKY-PUDLAK SYNDROME
HEMOTHORAX
HASHIMOTO-PRITZKER SYNDROME
HALLERVORDEN-SPATZ SYNDROME
HALLUX VALGUS
HAJDU-CHENEY SYNDROME
GOLTZ SYNDROME
FOX-FORDYCE DISEASE
FRAGILE X SYNDROME
FRANCESCHETTI-KLEIN SYNDROME
FOIX-CHAVANY-MARIE SYNDROME
FOIX-ALAJOUANINE SYNDROME
FLAVIMONAS ORYZIHABITANS
FITZ-HUGH-CURTIS SYNDROME
FAZIO-LONDE SYNDROME
FAHR'S SYNDROME
EXNER SYNDROME
ERYTHROPLAKIA
ELEJALDE SYNDROME
EKBOM SYNDROME
EIKEN SYNDROME
ECZEMA
DYSKINESIA
DWARFISM
DUBOWITZ SYNDROME
DIGOXIN TOXICITY
DEXTROCARDIA
DEVIC SYNDROME
DESBUQUOIS SYNDROME
DEJERINE-SOTTAS SYNDROME
CYSTS
CUTIS LAXA
CROUZON SYNDROME
CROW-FUKASE SYNDROME
CRIGLER-NAJJAR SYNDROME
CREUTZFELDT-JAKOB DISEASE
COWCHOCK-WAPNER-KURTZ SYNDROME
COWPOX
COCKAYNE'S SYNDROME
CHALAZION
CERAMIDE TRIHEXOSIDOSIS
CENANI-LENZ SYNDACTYLISM
CATEL-MANZKE SYNDROME
CAMFAK SYNDROME
BRADYKINESIA
BJORNSTAD SYNDROME
BEJEL
BAZEX-DUPRE-CHRISTOL SYNDROME
ATAXIA
ARGYRIA
APUDOMA
APPLET-GERKEN-LENZ SYNDROME
ANKYLOSIS
ABRUZZO-ERICKSON SYNDROME
AARSKOG SYNDROME
AGYRIA
AMBLYOPIA
ANAPHYLAXIS
ANTHRAX
ANTLEY-BIXLER SYNDROME
APRAXIA
ASPHYXIA
AYAZI SYNDROME
BANNAYAN-ZONANA SYNDROME
CALCIPHYLAXIS
